case_id,case_login,case_pass,case_ip,case_expected
0,login1,pass1,192.168.1.10,1
1,login1,pass1,192.168.1.10,1
2,login1,pass1,192.168.1.10,1
3,login1,pass1,192.168.1.10,1
4,login1,pass1,192.168.1.10,1
5,login1,pass1,192.168.1.10,1
6,login1,pass1,192.168.1.10,1
7,login1,pass1,192.168.1.10,1
8,login1,pass1,192.168.1.10,1
9,login1,pass1,192.168.1.10,1
10,login2,pass1,192.168.1.10,1
11,login2,pass1,192.168.1.10,1
12,login2,pass1,192.168.1.10,1
13,login2,pass1,192.168.1.10,1
14,login2,pass1,192.168.1.10,1
15,login2,pass1,192.168.1.10,1
16,login2,pass1,192.168.1.10,1
17,login2,pass1,192.168.1.10,1
18,login2,pass1,192.168.1.10,1
19,login2,pass1,192.168.1.10,1
20,login3,pass1,192.168.1.10,1
21,login3,pass1,192.168.1.10,1
22,login3,pass1,192.168.1.10,1
23,login3,pass1,192.168.1.10,1
24,login3,pass1,192.168.1.10,1
25,login3,pass1,192.168.1.10,1
26,login3,pass1,192.168.1.10,1
27,login3,pass1,192.168.1.10,1
28,login3,pass1,192.168.1.10,1
29,login3,pass1,192.168.1.10,1
30,login4,pass1,192.168.1.10,1
31,login4,pass1,192.168.1.10,1
32,login4,pass1,192.168.1.10,1
33,login4,pass1,192.168.1.10,1
34,login4,pass1,192.168.1.10,1
35,login4,pass1,192.168.1.10,1
36,login4,pass1,192.168.1.10,1
37,login4,pass1,192.168.1.10,1
38,login4,pass1,192.168.1.10,1
39,login4,pass1,192.168.1.10,1
40,login5,pass1,192.168.1.10,1
41,login5,pass1,192.168.1.10,1
42,login5,pass1,192.168.1.10,1
43,login5,pass1,192.168.1.10,1
44,login5,pass1,192.168.1.10,1
45,login5,pass1,192.168.1.10,1
46,login5,pass1,192.168.1.10,1
47,login5,pass1,192.168.1.10,1
48,login5,pass1,192.168.1.10,1
49,login5,pass1,192.168.1.10,1
50,login6,pass1,192.168.1.10,1
51,login6,pass1,192.168.1.10,1
52,login6,pass1,192.168.1.10,1
53,login6,pass1,192.168.1.10,1
54,login6,pass1,192.168.1.10,1
55,login6,pass1,192.168.1.10,1
56,login6,pass1,192.168.1.10,1
57,login6,pass1,192.168.1.10,1
58,login6,pass1,192.168.1.10,1
59,login6,pass1,192.168.1.10,1
60,login7,pass1,192.168.1.10,1
61,login7,pass1,192.168.1.10,1
62,login7,pass1,192.168.1.10,1
63,login7,pass1,192.168.1.10,1
64,login7,pass1,192.168.1.10,1
65,login7,pass1,192.168.1.10,1
66,login7,pass1,192.168.1.10,1
67,login7,pass1,192.168.1.10,1
68,login7,pass1,192.168.1.10,1
69,login7,pass1,192.168.1.10,1
70,login8,pass1,192.168.1.10,1
71,login8,pass1,192.168.1.10,1
72,login8,pass1,192.168.1.10,1
73,login8,pass1,192.168.1.10,1
74,login8,pass1,192.168.1.10,1
75,login8,pass1,192.168.1.10,1
76,login8,pass1,192.168.1.10,1
77,login8,pass1,192.168.1.10,1
78,login8,pass1,192.168.1.10,1
79,login8,pass1,192.168.1.10,1
80,login9,pass1,192.168.1.10,1
81,login9,pass1,192.168.1.10,1
82,login9,pass1,192.168.1.10,1
83,login9,pass1,192.168.1.10,1
84,login9,pass1,192.168.1.10,1
85,login9,pass1,192.168.1.10,1
86,login9,pass1,192.168.1.10,1
87,login9,pass1,192.168.1.10,1
88,login9,pass1,192.168.1.10,1
89,login9,pass1,192.168.1.10,1
90,login10,pass1,192.168.1.10,1
91,login10,pass1,192.168.1.10,1
92,login10,pass1,192.168.1.10,1
93,login10,pass1,192.168.1.10,1
94,login10,pass1,192.168.1.10,1
95,login10,pass1,192.168.1.10,1
96,login10,pass1,192.168.1.10,1
97,login10,pass1,192.168.1.10,1
98,login10,pass1,192.168.1.10,1
99,login10,pass1,192.168.1.10,1
100,login11,pass2,192.168.1.10,1
101,login11,pass2,192.168.1.10,1
102,login11,pass2,192.168.1.10,1
103,login11,pass2,192.168.1.10,1
104,login11,pass2,192.168.1.10,1
105,login11,pass2,192.168.1.10,1
106,login11,pass2,192.168.1.10,1
107,login11,pass2,192.168.1.10,1
108,login11,pass2,192.168.1.10,1
109,login11,pass2,192.168.1.10,1
110,login12,pass2,192.168.1.10,1
111,login12,pass2,192.168.1.10,1
112,login12,pass2,192.168.1.10,1
113,login12,pass2,192.168.1.10,1
114,login12,pass2,192.168.1.10,1
115,login12,pass2,192.168.1.10,1
116,login12,pass2,192.168.1.10,1
117,login12,pass2,192.168.1.10,1
118,login12,pass2,192.168.1.10,1
119,login12,pass2,192.168.1.10,1
120,login13,pass2,192.168.1.10,1
121,login13,pass2,192.168.1.10,1
122,login13,pass2,192.168.1.10,1
123,login13,pass2,192.168.1.10,1
124,login13,pass2,192.168.1.10,1
125,login13,pass2,192.168.1.10,1
